10 2ary/3ary Visual Posterior (BA18/19p)	11 2ary Auditory Posterior (BA21p)	12 Premotor Posterior (BA6p)	13 Premotor Precentral (BA6prc)	14 1ary Visual Posterior (BA17p)	15 1ary Motor (BA4)	16 1ary Auditory (BA41/42)	17 1ary Visual Anterior (BA17a)	18 1ary Somatosensory (BA3/1/2)	19 Posterior Middle Temporal (BA37-pMT)	2  Anterior Supramarginal (BA40a)	20 Posterior Fusiform (BA37m)	21 FEF Lateral (BA8)	22 Premotor Medial (BA6m)	23 Insular Anterior Cortex	24 Cingulate Posterior (BA23p)	25 Posterior Inferior Temporal (BA20p)	26 2ary Auditory, language (BA22a)	27 2ary/3ary Visual Anterior (BA18/19a)	28 2ary Auditory, Wernicke (BA22p)	29 Precuneus (BA7m)	3  Posterior Superior Parietal (BA7p)	30 Premotor Anterior Lateral (BA6a)	31 Supramarginal Posterior (BA40p)	32 Ventrolateral Prefrontal, Broca (BA44)	33 Anterior Inferior Temporal (BA20a)	34 Dorsolateral Prefrontal (BA9)	35 Dorsolateral Prefrontal Medial (BA9m)	36 FEF Medial (BA8m)	37 2ary Auditory Anterior (BA21a)	38 Anterior Prefrontal (BA10)	4  Anterior Superior Parietal (BA5/BA7a)	40 Cingulate Anterior (BA32g)	41 Angular (BA39)	42 Cingulate Subcallosal (BA25)	43 Temporopolar (BA38)	44 Dorsolateral Prefrontal (BA46)	45 Ventrolateral Prefrontal, Broca (BA45)	46 Prefrontal Medial (BA10m)	47 Cingulate Posterior (BA31)	48 Cingulate Anterior (BA24)	49 Cingulate Anterior (BA32)	5  Retrosplenial (BA29/30)	50 Orbitofrontal (BA11)	51 Piriform Cortex	52 Amygdala	53 Insular Posterior Cortex	54 Entorhinal Cortex	55 Hippocampus, CA3 / Dentate Gyrus	56 Nucleus Accumbens	57 Caudate	58 Putamen	6  Anterior Middle Temporal (BA37-aMT)	64 Globus Pallidus	65 Hippocampus, CA1	68 Medial Dorsal Thalamus	7  Orbitofrontal (BA47)	70 Ventral Lateral Thalamus	8  Cingulate Posterior (BA23a)
10 2ary/3ary Visual Posterior (BA18/19p)	0	5.85939975550261	2.54015672413926	2.88025287599005	0.696559841855656	2.42091780883954	2.59465905917491	1.01559649968346	2.24777945103228	3.00873399753665	2.88201313675989	0.998139197480023	5.75237180445106	2.76394893427073	3.77836149681669	3.54897926335578	3.91544173512737	3.41296075254485	1.01559649968346	3.2918969049842	3.85942336191977	1.8838470179237	3.16024456391577	5.65827223544615	3.45164243358454	3.23157965070248	5.80693456705643	6.05672404489004	4.18866772420267	5.32121221309142	5.98325488723911	1.87333589909899	5.59988781567337	4.08583408998016	5.59988781567337	3.50976313825525	4.51216491549895	5.37183782840751	5.99379700515546	5.51919330141923	2.995731988863	4.71889033412036	1.87596206885505	4.82249733612945	3.1238665396001	3.0059527286326	2.64071535923323	3.1238665396001	3.5556363289452	4.54778427880975	4.56656906478161	3.89557207251478	1.83461385298643	3.81156010397958	3.13611681567297	3.92622627574661	5.78203446450536	2.60126344903267	4.6642550978111
11 2ary Auditory Posterior (BA21p)	5.85939975550261	0	6.61771526081955	4.72887204372097	6.33639979127554	5.69848897745106	6.38985543456789	6.60648670244195	5.89530074552062	4.01149176209535	6.22723389665894	6.42096347670909	0.820422225442278	6.52660973927577	4.01429291657703	3.66623469989186	2.3534715345669	3.92286984043565	6.60648670244195	4.16330721957139	2.77377362317152	6.23062917341401	5.92226226222438	2.07960540537457	4.97752235178462	3.25926271266982	0.945404548198904	1.82375326095252	4.01242271810957	1.41113920433595	1.11950587703918	5.88329416958279	1.58437817845101	2.03843381838333	1.58437817845101	3.38338213978097	2.99651778131601	1.8989157548557	1.23730522875113	1.04655771244379	4.75812754428211	3.08611286873096	4.44162370942178	1.74563811297534	3.6524310851321	3.82311785059996	6.22899506960377	3.6524310851321	3.15041036685201	2.80776083724427	2.88338996524065	3.96167637488587	5.31759597763105	3.9337556216952	3.37903023292782	3.12381597386202	1.49511843478295	4.29032025399721	1.7024725029131
12 Premotor Posterior (BA6p)	2.54015672413926	6.61771526081955	0	2.35134575090332	2.5083934319759	1.19126020120699	1.04750984965366	2.16231068832395	1.06787562302465	3.13590640722545	1.63193894664857	2.20115528078532	6.33667530160927	0.858747184777941	3.53127716954257	3.80579340472466	4.51613288956532	3.48383635287539	2.16231068832395	3.13743874191094	5.08081158352238	1.62292332523289	1.76725127158517	5.9784268534191	2.58935972186472	3.67389646714768	6.35011284139966	6.37905477324862	3.77702287734604	5.92199235958093	6.5354464745554	1.60042202037935	6.22597186095722	4.87909318137386	6.22597186095722	3.83457188374054	4.70192079371682	5.5688136486648	6.52207125364726	6.44956701491905	2.6448797544941	4.99927858594498	3.33771115046099	5.18949118452221	3.69129203010513	3.16757670529035	1.17055417712425	3.69129203010513	4.35355246035354	4.84249970191469	4.62957209695146	3.69289884021905	2.29071913072196	3.67085380314283	3.8711774061719	4.15863645692378	6.09126354312531	2.75545700131894	5.70515664742476
13 Premotor Precentral (BA6prc)	2.88025287599005	4.72887204372097	2.35134575090332	0	3.24928243139053	2.08070713513742	2.57925783376186	3.26133046086504	2.22754673322432	1.35557747320823	1.56621253782723	3.1567698436938	4.30062472738232	2.49774734375052	2.08297880534383	2.36510321201374	2.5180161519563	2.90433704002423	3.26133046086504	2.60305190327104	3.35883883787864	2.04396953112869	1.38647791751193	3.8447535819552	1.44003241280393	2.48504626625476	4.6143213180662	4.38274810311294	2.20659086496423	4.38124554818234	4.4999311603864	1.72272695264086	4.58403631416135	2.97614260986431	4.58403631416135	2.84083281716677	2.56326543259007	3.75401615055813	4.7773201023637	4.75391870331037	1.5923325462821	3.41897943089732	2.77538813991046	3.29215733105807	2.49269087758622	2.2503634521316	2.23653690108673	2.49269087758622	3.38722576333874	3.19116335763861	2.78524991664975	2.24514358452317	1.72910208706514	2.17240339989708	2.85996340060135	2.42748504343455	4.21153406634063	1.77494399641935	4.08021207849554
14 1ary Visual Posterior (BA17p)	0.696559841855656	6.33639979127554	2.5083934319759	3.24928243139053	0	2.55588913157212	2.66886476256396	0.790388449523286	2.33594784162376	3.40133150718221	3.05740660501819	0.519295055556245	6.25063101806017	2.84623192370231	4.28445638804959	4.08869148947669	4.39970725791128	3.70457923913756	0.790388449523286	3.59281963274342	4.31383794283143	1.91415188265597	3.40181526931909	6.20440993852673	3.85811809893498	3.64304794340115	6.27170194476462	6.60146271370247	4.68995167798399	5.75183795766654	6.50444663745203	2.04498784716853	6.0946953948276	4.5371000412694	6.0946953948276	3.91530818597476	5.06297440013525	5.86094278418559	6.48348889104291	5.9740650039405	3.46879383332906	5.27876144745916	2.27529187944815	5.32086115597163	3.55054054655909	3.37953420481237	2.81847778660839	3.55054054655909	3.89495143975814	5.08207553618817	5.09329939404289	4.39381099062305	2.01066822462365	4.30959136993927	3.49311426802133	4.45033528708844	6.28517299581989	3.01700600601008	5.13102657510829
15 1ary Motor (BA4)	2.42091780883954	5.69848897745106	1.19126020120699	2.08070713513742	2.55588913157212	0	0.886374446853421	2.27058831421803	0.333176582876306	2.67281862908394	2.16782863892744	2.32549776576255	5.47689518230924	1.02223926353657	2.7796088308789	2.97126527463454	3.76209296793165	2.43869223619802	2.27058831421803	2.12242609928442	4.388198093344	2.09573235377917	2.04302747534057	5.21543956903062	2.19818908898818	2.72761872235832	5.36572869681397	5.50606805654081	3.0936583437994	4.90434015369144	5.6669660656571	1.81876611598613	5.19930803819122	4.10462228873546	5.19930803819122	2.80959332965513	4.04270129261057	4.6683877480089	5.51669162598424	5.4789920274806	2.03263329260565	4.09273728297561	2.62063213269966	4.29066679803254	2.88293731252085	2.19557214100744	1.12638861363102	2.88293731252085	3.36211103543992	3.93006636903703	3.80436699330228	2.93778118576636	2.3156346798377	2.94056185280317	2.93822385260428	3.3247877168346	5.1741759854778	1.97967183977712	4.76373903924534
16 1ary Auditory (BA41/42)	2.59465905917491	6.38985543456789	1.04750984965366	2.57925783376186	2.66886476256396	0.886374446853421	0	2.18737157649668	0.812338047557177	3.23994397549315	2.20343556045159	2.40224558525794	6.15726664203962	0.488535090720052	3.12358359352708	3.41301044265569	4.42278683419937	3.06654361887571	2.18737157649668	2.71490265209788	5.03389719025669	2.25562729708452	2.11994242084853	5.77070843838633	2.41829554709367	3.37091015461496	6.04751812089707	6.07536153202575	3.47356359767408	5.59104848348963	6.29705643244303	2.03453572376417	5.81469800997323	4.80924542176058	5.81469800997323	3.39197012620587	4.53776804676787	5.27986439459534	6.15845684696436	6.17506642802401	2.29158927952128	4.5155645085874	3.11546033253449	4.92684518018734	3.44853015536273	2.80768176603775	0.660191238628473	3.44853015536273	4.03434924165367	4.41909229886266	4.30821058425825	3.29976862339675	2.73453670604115	3.32573361065711	3.60546011735351	3.85176925248189	5.79383859771025	2.49294417924478	5.43272390328307
17 1ary Visual Anterior (BA17a)	1.01559649968346	6.60648670244195	2.16231068832395	3.26133046086504	0.790388449523286	2.27058831421803	2.18737157649668	0	2.01994069697663	3.5928869147	2.91011201817986	0.779398273437246	6.48565272046801	2.36343493014932	4.13348427265762	4.01623568417517	4.63998436294318	3.72701333803599	0	3.57137194110356	4.6591109685577	1.94474912554299	3.2213406200189	6.33440711375523	3.66357111598239	3.759064786175	6.46748460100919	6.70038983369657	4.5621708174066	5.94874763753894	6.69723277938261	1.98592934216628	6.21092971815311	4.84442090015816	6.21092971815311	3.94646644077333	5.12197420766982	5.97648867599312	6.62571895614629	6.23884826308245	3.24327291836598	5.20400428405418	2.44352244243755	5.45578880242869	3.665191088679	3.39378177646347	2.36181053875621	3.665191088679	4.09515958254757	5.06689215716035	5.08390016218315	4.2527108069975	2.3392888470969	4.19072586019968	3.67975583819393	4.463598286075	6.41934728118655	2.97954018809569	5.38366640950544
18 1ary Somatosensory (BA3/1/2)	2.24777945103228	5.89530074552062	1.06787562302465	2.22754673322432	2.33594784162376	0.333176582876306	0.812338047557177	2.01994069697663	0	2.81995900312148	2.16984808741521	2.11050809753771	5.6831088271653	0.976614022025699	3.01505836855533	3.12569601668827	3.93041038770419	2.6483655553791	2.01994069697663	2.36297590414526	4.45465823520543	1.93615194641231	2.16091336614295	5.43860793578742	2.42979687975892	2.91730418275332	5.58942358989539	5.74410196068873	3.35406891096584	5.11507206882508	5.87979093418663	1.68470399373928	5.39673928671714	4.25344298584071	5.39673928671714	3.01402032754923	4.24322580963011	4.9290171226322	5.73393396427557	5.64009466407191	2.17840307996456	4.29532242810394	2.57729827568173	4.51122215743806	3.01630647181773	2.39299081897629	1.13471369186295	3.01630647181773	3.49206594919156	4.13386662071394	4.03588569432532	3.16070973352447	2.27460887794574	3.15156739893407	3.06254976080385	3.5140969082249	5.42346247063108	2.11720033018014	4.89477678727566
19 Posterior Middle Temporal (BA37-pMT)	3.00873399753665	4.01149176209535	3.13590640722545	1.35557747320823	3.40133150718221	2.67281862908394	3.23994397549315	3.5928869147	2.81995900312148	0	2.52744941508679	3.3516145445707	3.70242958711283	3.28486834235684	2.31043186802707	2.39520893089361	1.91324552727567	2.60137483572789	3.5928869147	2.37289848736202	2.83155233615881	2.66801522675511	2.3301556849984	3.38629289924664	2.07431321991431	1.9999743699267	3.98058624608759	3.95841927398431	2.41836684241656	3.72268961373398	3.93606083039326	2.4274774422912	4.11875739156748	2.29952528506866	4.11875739156748	2.46354337897499	2.41760809399465	3.2127400482941	4.2535865353405	4.09570419191003	2.22387172557233	3.34521461366723	2.66389122567733	2.81106266821489	2.2076736447115	2.0656342076136	2.98825603296803	2.2076736447115	2.88830908055621	2.99570091385968	2.64714166268903	2.42703821024303	1.81371307348762	2.33768236609498	2.4453441754947	2.28493345756569	3.65990101431939	1.90590437294986	3.48961643552854
