default mode network	dorsal attention network	ventral attention network	visual network	sensory motor network	auditory network	task positive network	executive control network	salience network	basal ganglia network	frontal cortical network	language network
1  Cerebellar Grey Matter	0	0	0	0	1	0	0	0	0	0	0	0
10 2ary/3ary Visual Posterior (BA18/19p)	0	0	0	1	0	0	0	0	0	0	0	0
11 2ary Auditory Posterior (BA21p)	1	0	0	0	0	1	0	0	0	0	0	1
12 Premotor Posterior (BA6p)	0	1	0	0	1	0	0	0	1	0	0	1
13 Premotor Precentral (BA6prc)	0	1	0	0	1	0	0	0	1	0	0	0
14 1ary Visual Posterior (BA17p)	0	0	0	1	0	0	0	0	0	0	0	0
15 1ary Motor (BA4)	0	0	0	0	1	0	1	0	0	0	0	0
16 1ary Auditory (BA41/42)	0	0	0	0	0	1	0	0	0	0	0	1
17 1ary Visual Anterior (BA17a)	0	0	0	1	0	0	0	0	0	0	0	0
18 1ary Somatosensory (BA3/1/2)	0	0	0	0	1	0	1	0	0	0	0	0
19 Posterior Middle Temporal (BA37-pMT)	0	0	0	0	0	0	0	0	0	0	0	1
2  Anterior Supramarginal (BA40a)	1	1	1	0	0	0	0	0	0	0	0	0
20 Posterior Fusiform (BA37m)	0	0	0	0	0	0	0	0	0	0	0	1
21 FEF Lateral (BA8)	1	1	0	0	0	0	0	0	0	0	0	0
22 Premotor Medial (BA6m)	0	1	0	0	1	0	0	0	1	0	0	1
23 Insular Anterior Cortex	0	0	0	0	0	0	1	0	1	0	0	1
24 Cingulate Posterior (BA23p)	1	0	0	0	0	0	0	1	0	0	0	0
25 Posterior Inferior Temporal (BA20p)	0	0	0	0	0	0	0	0	0	0	0	1
26 2ary Auditory, language (BA22a)	0	0	1	0	0	1	0	0	0	0	0	1
27 2ary/3ary Visual Anterior (BA18/19a)	0	0	0	1	0	0	0	0	0	0	0	0
28 2ary Auditory, Wernicke (BA22p)	0	0	1	0	0	1	0	0	0	0	0	1
29 Precuneus (BA7m)	1	1	0	0	0	0	0	0	0	0	0	0
3  Posterior Superior Parietal (BA7p)	1	1	0	0	0	0	0	0	0	0	0	0
30 Premotor Anterior Lateral (BA6a)	0	1	0	0	1	0	0	0	1	0	0	1
31 Supramarginal Posterior (BA40p)	1	1	1	0	0	0	0	0	0	0	0	0
32 Ventrolateral Prefrontal, Broca (BA44)	0	1	0	0	0	0	0	0	0	0	0	1
33 Anterior Inferior Temporal (BA20a)	0	0	0	0	0	0	0	0	0	0	0	1
34 Dorsolateral Prefrontal (BA9)	1	1	0	0	0	0	1	0	0	0	0	0
35 Dorsolateral Prefrontal Medial (BA9m)	1	1	0	0	0	0	1	0	0	0	0	0
36 FEF Medial (BA8m)	1	1	0	0	0	0	0	0	0	0	0	0
37 2ary Auditory Anterior (BA21a)	1	0	0	0	0	1	0	0	0	0	0	1
38 Anterior Prefrontal (BA10)	1	0	0	0	0	0	1	1	0	0	0	0
39 Frontopolar (BA10fp)	1	0	0	0	0	0	1	1	0	0	0	0
4  Anterior Superior Parietal (BA5/BA7a)	1	1	0	0	0	0	0	0	0	0	0	0
40 Cingulate Anterior (BA32g)	1	0	0	0	0	0	0	1	1	0	1	0
41 Angular (BA39)	1	1	0	0	0	0	0	0	0	0	0	1
42 Cingulate Subcallosal (BA25)	0	0	0	0	0	0	0	1	0	0	0	0
43 Temporopolar (BA38)	0	0	0	0	0	0	0	0	0	0	0	1
44 Dorsolateral Prefrontal (BA46)	0	1	0	0	0	0	0	0	0	0	0	1
45 Ventrolateral Prefrontal, Broca (BA45)	0	1	0	0	0	0	0	0	0	0	0	1
46 Prefrontal Medial (BA10m)	1	0	0	0	0	0	1	1	0	0	0	0
47 Cingulate Posterior (BA31)	1	0	0	0	0	0	0	1	0	0	0	0
48 Cingulate Anterior (BA24)	0	0	0	0	0	0	0	1	1	0	0	0
49 Cingulate Anterior (BA32)	1	0	0	0	0	0	0	1	1	0	1	0
5  Retrosplenial (BA29/30)	1	0	0	0	0	0	0	0	0	0	0	0
50 Orbitofrontal (BA11)	0	0	0	0	0	0	0	0	0	0	1	0
51 Piriform Cortex	0	0	0	0	0	0	0	0	0	0	0	0
52 Amygdala	0	0	0	0	0	0	0	0	0	1	1	0
53 Insular Posterior Cortex	0	0	0	0	0	0	1	0	0	0	0	1
54 Entorhinal Cortex	1	0	0	0	0	0	0	0	0	0	0	0
55 Hippocampus, CA3 / Dentate Gyrus	1	0	0	0	0	0	0	0	0	0	1	0
56 Nucleus Accumbens	0	0	0	0	0	0	0	0	0	1	1	0
57 Caudate	0	0	0	0	0	0	0	0	0	1	0	0
58 Putamen	0	0	0	0	0	0	0	0	0	1	0	0
59 Deep Nuclei−Dentate Nucleus	0	0	0	0	1	0	0	0	0	0	0	0
6  Anterior Middle Temporal (BA37-aMT)	0	0	0	0	0	0	0	0	0	0	0	1
60 Superior Colliculus	0	0	0	0	0	0	0	0	0	0	0	0
61 Pulvinar Thalamus	0	0	0	0	0	0	0	0	0	0	0	0
62 Red Nucleus	0	0	0	0	0	0	0	0	0	0	0	0
63 Substantia Nigra	0	0	0	0	0	0	0	0	0	1	0	0
64 Globus Pallidus	0	0	0	0	0	0	0	0	0	1	0	0
65 Hippocampus, CA1	1	0	0	0	0	0	0	0	0	0	0	0
66 Subiculum	1	0	0	0	0	0	0	0	0	0	1	0
67 Ventral Anterior Thalamus	0	0	0	0	0	0	0	0	0	0	0	0
68 Medial Dorsal Thalamus	0	0	0	0	0	0	0	0	0	0	0	0
69 Hypothalamus	0	0	0	0	0	0	0	0	0	1	0	0
7  Orbitofrontal (BA47)	1	0	0	0	0	0	0	0	0	0	0	1
70 Ventral Lateral Thalamus	0	0	0	0	0	0	0	0	0	0	0	0
71 External Capsule	0	0	0	0	0	0	0	0	0	0	0	0
72 Internal Capsule	0	0	0	0	0	0	0	0	0	0	0	0
73 Corpus Callosum Anterior	0	0	0	0	0	0	0	0	0	0	0	0
74 Corpus Callosum Posterior	0	0	0	0	0	0	0	0	0	0	0	0
75 Cerebellar White Matter	0	0	0	0	1	0	0	0	0	0	0	0
8  Cingulate Posterior (BA23a)	1	0	0	0	0	0	0	1	0	0	0	0
9  2ary Somatosensory Cortex	0	0	0	0	1	0	0	0	0	0	0	0
