col	region	area	region.area	region.number	region.abbr	region.name
14	14 1ary Visual Posterior (BA17p)	Primary cortex	Primary Cortex	1	BA17p	1ary Visual Posterior
15	15 1ary Motor (BA4)	Primary cortex	Primary Cortex	2	BA4	1ary Motor
16	16 1ary Auditory (BA41/42)	Primary cortex	Primary Cortex	3	BA41/42	1ary Auditory
17	17 1ary Visual Anterior (BA17a)	Primary cortex	Primary Cortex	4	BA17a	1ary Visual Anterior
18	18 1ary Somatosensory (BA3/1/2)	Primary cortex	Primary Cortex	5	BA3/1/2	1ary Somatosensory
51	51 Piriform Cortex	Primary cortex	Primary Cortex	6	PC	Piriform Cortex
27	27 2ary/3ary Visual Anterior (BA18/19a)	Secondary cortex	Secondary Cortex	7	BA18/19a	2ary/3ary Visual Anterior
10	10 2ary/3ary Visual Posterior (BA18/19p)	Secondary cortex	Secondary Cortex	8	BA18/19p	2ary/3ary Visual Posterior
37	37 2ary Auditory Anterior (BA21a)	Secondary cortex	Secondary Cortex	9	BA21a	2ary Auditory Anterior
11	11 2ary Auditory Posterior (BA21p)	Secondary cortex	Secondary Cortex	10	BA21p	2ary Auditory Posterior
26	26 2ary Auditory, language (BA22a)	Secondary cortex	Secondary Cortex	11	BA22a	2ary Auditory, language
28	28 2ary Auditory, Wernicke (BA22p)	Secondary cortex	Secondary Cortex	12	BA22p	2ary Auditory, Wernicke
9	9  2ary Somatosensory Cortex	Secondary cortex	Secondary Cortex	13	2nd-SS	2ary Somatosensory Cortex
12	12 Premotor Posterior (BA6p)	Secondary cortex	Secondary Cortex	14	BA6p	Premotor Posterior
13	13 Premotor Precentral (BA6prc)	Secondary cortex	Secondary Cortex	15	BA6prc	Premotor Precentral
22	22 Premotor Medial (BA6m)	Secondary cortex	Secondary Cortex	16	BA6m	Premotor Medial
30	30 Premotor Anterior Lateral (BA6a)	Secondary cortex	Secondary Cortex	17	BA6a	Premotor Anterior Lateral
6	6  Anterior Middle Temporal (BA37-aMT)	Secondary cortex	Secondary Cortex	18	BA37-aMT	Anterior Middle Temporal
19	19 Posterior Middle Temporal (BA37-pMT)	Secondary cortex	Secondary Cortex	19	BA37-pMT	Posterior Middle Temporal
20	20 Posterior Fusiform (BA37m)	Secondary cortex	Secondary Cortex	20	BA37m	Posterior Fusiform
21	21 FEF Lateral (BA8)	Secondary cortex	Secondary Cortex	21	BA8	FEF Lateral
36	36 FEF Medial (BA8m)	Secondary cortex	Secondary Cortex	22	BA8m	FEF Medial
23	23 Insular Anterior Cortex	Associative cortex	Associative Cortex	23	INSa	Insular Anterior Cortex
53	53 Insular Posterior Cortex	Associative cortex	Associative Cortex	24	INSp	Insular Posterior Cortex
33	33 Anterior Inferior Temporal (BA20a)	Associative cortex	Associative Cortex	25	BA20a	Anterior Inferior Temporal
25	25 Posterior Inferior Temporal (BA20p)	Associative cortex	Associative Cortex	26	BA20p	Posterior Inferior Temporal
4	4  Anterior Superior Parietal (BA5/BA7a)	Associative cortex	Associative Cortex	27	BA5/BA7a	Anterior Superior Parietal
3	3  Posterior Superior Parietal (BA7p)	Associative cortex	Associative Cortex	28	BA7p	Posterior Superior Parietal
29	29 Precuneus (BA7m)	Associative cortex	Associative Cortex	29	BA7m	Precuneus
43	43 Temporopolar (BA38)	Associative cortex	Associative Cortex	30	BA38	Temporopolar
41	41 Angular (BA39)	Associative cortex	Associative Cortex	31	BA39	Angular
2	2  Anterior Supramarginal (BA40a)	Associative cortex	Associative Cortex	32	BA40a	Anterior Supramarginal
