x	y	group	order	col	x_cent	y_cent	x_poi	y_poi	num
2974	-9.42	1_r	1582	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2963	-10.17	1_r	1583	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2963	-10.17	1_r	1584	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2944.17	-11.96	1_r	1585	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2925.92	-16.88	1_r	1586	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2913.32	-32	1_r	1587	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2904.49	-42.61	1_r	1588	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2899.21	-60.03	1_r	1589	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2894.19	-73	1_r	1590	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2886.66	-92.44	1_r	1591	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2879.52	-107.4	1_r	1592	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2866.58	-124	1_r	1593	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2861.98	-129.89	1_r	1594	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2852.54	-142.02	1_r	1595	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2846	-144.92	1_r	1596	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2833.12	-150.65	1_r	1597	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2817.18	-134.14	1_r	1598	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2809	-126	1_r	1599	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2804.68	-121.71	1_r	1600	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2798.86	-115.22	1_r	1601	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2792	-117.74	1_r	1602	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2788.77	-118.93	1_r	1603	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2779.23	-128.02	1_r	1604	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2776	-130.85	1_r	1605	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2776	-130.85	1_r	1606	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2750	-151.37	1_r	1607	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2750	-151.37	1_r	1608	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2703.84	-186.05	1_r	1609	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2646.65	-228.18	1_r	1610	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2646	-292	1_r	1611	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2645.82	-309.88	1_r	1612	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2650.56	-327.54	1_r	1613	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2657.2	-344	1_r	1614	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2663.35	-359.24	1_r	1615	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2670.8	-370.59	1_r	1616	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2671	-388	1_r	1617	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2671.38	-422.06	1_r	1618	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2648.84	-455.42	1_r	1619	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2628.4	-481	1_r	1620	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2628.4	-481	1_r	1621	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2558.84	-560	1_r	1622	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2558.84	-560	1_r	1623	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2539.15	-582.05	1_r	1624	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2517.15	-609.36	1_r	1625	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2506.2	-637	1_r	1626	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2506.2	-637	1_r	1627	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2496.85	-670	1_r	1628	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
2496.85	-670	1_r	1629	1	2631.89548523207	-979.076371308017	2901.4822265625	-389.8598828125	18
