10 2ary/3ary Visual Posterior (BA18/19p)	11 2ary Auditory Posterior (BA21p)	12 Premotor Posterior (BA6p)	13 Premotor Precentral (BA6prc)	14 1ary Visual Posterior (BA17p)	15 1ary Motor (BA4)	16 1ary Auditory (BA41/42)	17 1ary Visual Anterior (BA17a)	18 1ary Somatosensory (BA3/1/2)	19 Posterior Middle Temporal (BA37-pMT)	2  Anterior Supramarginal (BA40a)	20 Posterior Fusiform (BA37m)	21 FEF Lateral (BA8)	22 Premotor Medial (BA6m)	23 Insular Anterior Cortex	24 Cingulate Posterior (BA23p)	25 Posterior Inferior Temporal (BA20p)	26 2ary Auditory, language (BA22a)	27 2ary/3ary Visual Anterior (BA18/19a)	28 2ary Auditory, Wernicke (BA22p)	29 Precuneus (BA7m)	3  Posterior Superior Parietal (BA7p)	30 Premotor Anterior Lateral (BA6a)	31 Supramarginal Posterior (BA40p)	32 Ventrolateral Prefrontal, Broca (BA44)	33 Anterior Inferior Temporal (BA20a)	34 Dorsolateral Prefrontal (BA9)	35 Dorsolateral Prefrontal Medial (BA9m)	36 FEF Medial (BA8m)	37 2ary Auditory Anterior (BA21a)	38 Anterior Prefrontal (BA10)	4  Anterior Superior Parietal (BA5/BA7a)	40 Cingulate Anterior (BA32g)	41 Angular (BA39)	42 Cingulate Subcallosal (BA25)	43 Temporopolar (BA38)	44 Dorsolateral Prefrontal (BA46)	45 Ventrolateral Prefrontal, Broca (BA45)	46 Prefrontal Medial (BA10m)	47 Cingulate Posterior (BA31)	48 Cingulate Anterior (BA24)	49 Cingulate Anterior (BA32)	5  Retrosplenial (BA29/30)	50 Orbitofrontal (BA11)	51 Piriform Cortex	52 Amygdala	53 Insular Posterior Cortex	54 Entorhinal Cortex	55 Hippocampus, CA3 / Dentate Gyrus	56 Nucleus Accumbens	57 Caudate	58 Putamen	6  Anterior Middle Temporal (BA37-aMT)	64 Globus Pallidus	65 Hippocampus, CA1	68 Medial Dorsal Thalamus	7  Orbitofrontal (BA47)	70 Ventral Lateral Thalamus	8  Cingulate Posterior (BA23a)
10 2ary/3ary Visual Posterior (BA18/19p)	0	2.15725854884235	2.69349727766959	2.79141786560302	0.626976416161813	2.19983501175039	2.35040976648453	0.539286513445951	2.09929004382376	2.32046911324198	2.4993826824773	1.07461829484398	2.78004165122735	2.53597250359079	2.27217098830711	2.29442599412507	1.84486833949596	2.12835078514757	0.539286513445951	2.39319371846651	1.54598293746595	1.62506543234631	2.71286001557926	2.26476916546599	2.37750906648766	1.21656526384527	2.32375811731738	2.48502935227023	2.56300999365585	1.79821280027571	2.06908025887143	1.94795242103313	2.23591315052363	1.77061189910517	2.23591315052363	1.7944701985285	2.3360979613933	2.3667823500756	2.38221703873593	1.76059746251472	2.37469810992661	2.40030673839087	0.823232269854469	1.80741949777974	1.37790493056927	1.84260432463764	2.19991695283603	1.37790493056927	1.78329251767334	2.10685039348821	2.3503700536064	2.38789624019927	1.344284310492	2.4464650110682	1.50157726497257	2.23193162026171	2.16726639412312	2.00623618561377	1.69349731626682
11 2ary Auditory Posterior (BA21p)	2.15725854884235	0	2.36048494329613	2.39568754518249	2.24359430912982	1.95521457063697	1.3879311251559	2.37935414414601	1.74639466577511	0.611616812020259	1.6776410738558	2.09745432048324	2.36928436289556	2.56549646966147	2.12506650881402	2.51947896210689	0.877228252311286	0.899733074039602	2.37935414414601	0.848283158730352	2.31893798120402	1.38186167444307	2.21748948113359	1.01284535822808	1.87541287889502	1.4546340494207	2.29177757328628	2.78646899299466	2.68619485739337	0.710218611884181	2.1451347325592	1.63632546599998	2.7126343403383	0.82683408924693	2.7126343403383	1.90332270265385	1.94281855231009	2.11959035209863	2.73770312157494	2.58922000473686	2.78892643055212	2.82477160848359	2.35990184161686	1.99951979459724	2.30126073315599	2.59064063119641	1.6089982158848	2.30126073315599	2.61986715543931	2.79741436091893	2.75011973677669	2.73151084043739	1.21687350950846	2.62341979062789	2.5676713867261	2.85441904969848	2.15314395734156	2.40764769558433	2.61022381022337
12 Premotor Posterior (BA6p)	2.69349727766959	2.36048494329613	0	0.453095324725923	2.74489305364568	1.06858221318123	2.17810449026559	2.94642705325543	1.35979678534166	2.15571897590239	1.83341856952613	2.63978966509809	1.07720754811413	1.7477804482637	2.32300454770283	2.36662724899311	2.32671657875438	2.4030694551267	2.94642705325543	2.35409837925674	2.79073296709448	1.92572383354536	0.563077418659953	2.24358027779792	1.29751105875783	2.3555878043576	1.7866118420573	2.48309274356594	2.06072221394196	2.40195434199265	1.97370674533383	1.66389160107336	2.63548538892837	2.03937470162782	2.63548538892837	2.51718096747076	1.20604122372591	2.0005491801015	2.53615062472801	2.93523424245064	2.64524606799654	2.70099497782531	2.94090956005131	1.88265740896106	2.63128150232997	2.79919023293479	2.00694611300194	2.63128150232997	2.83150060444108	2.96251338246391	2.69465426838468	2.67320590414728	2.38779012091779	2.28962563679809	3.02794497991302	2.91864031208313	2.30766257330917	2.35335352478684	2.93018713722434
13 Premotor Precentral (BA6prc)	2.79141786560302	2.39568754518249	0.453095324725923	0	2.8439515934638	1.31918417218009	2.26944893243847	3.06823519296502	1.56476967456548	2.14739355591464	1.85627465286304	2.71292381063677	0.717557491602894	1.88199385815859	2.55516973870264	2.51351505404232	2.33261745710328	2.47400518724361	3.06823519296502	2.39006361186124	2.95253156229812	2.04906321182467	0.617133318759734	2.31710243658132	1.44930025776017	2.44278067162825	1.90007378208148	2.62352658250175	2.17555224762663	2.47262233740979	2.17200004126597	1.76047867300338	2.77961336984503	2.09455484424112	2.77961336984503	2.73225566600067	1.17488480526969	2.20391691926432	2.6716303367582	3.10105425676581	2.8155084584375	2.84229256124731	3.08256446557012	1.99337397453061	2.80658566688197	3.04278159876055	2.15827312217647	2.80658566688197	3.06917619087073	3.206074747	2.95363476892171	2.93517714677648	2.46292390592898	2.56597272842336	3.23712359633527	3.15150198382181	2.54182965758046	2.60949449050018	3.11426181789024
14 1ary Visual Posterior (BA17p)	0.626976416161813	2.24359430912982	2.74489305364568	2.8439515934638	0	2.29106163468581	2.48852296487977	0.859716801724387	2.21400109093432	2.38044497747172	2.58246378794094	0.571839676547352	2.84440177420672	2.67671584024425	2.40851117331885	2.48464538710954	1.8213218657786	2.24648883113354	0.859716801724387	2.51727479431752	1.81632108989057	1.78406366604314	2.78887397826076	2.39543702516207	2.49753926137388	1.06466576490615	2.46364064287154	2.65944457482677	2.71706852773248	1.87047000530082	2.19543437916914	2.10271526855173	2.41361300323601	1.86816727019665	2.41361300323601	1.89770682751167	2.44143300578155	2.50506325359812	2.55825308744297	2.01895404535947	2.56066943307359	2.58993499995133	1.0938061894264	1.88971999027222	1.13838484562126	1.86744935824011	2.32917834417137	1.13838484562126	1.77693977488538	2.25278006904677	2.47303649922545	2.52864008820045	1.26002998829348	2.53985304133451	1.5474493014299	2.36010670161989	2.29612971376228	2.05766483022526	1.90064531454849
15 1ary Motor (BA4)	2.19983501175039	1.95521457063697	1.06858221318123	1.31918417218009	2.29106163468581	0	1.50550713402607	2.37984783827862	0.414396183952953	1.93001006256583	1.55126190329924	2.25493590632626	1.57914346343085	1.17887871557096	1.50533446209298	1.58784802543415	2.01745458256108	1.83671121577781	2.37984783827862	1.86374911346853	2.01294673490584	1.26448267902458	1.10590899830414	1.68824657508788	0.861026840718825	1.89378366890614	1.23972975377058	1.81629226822204	1.49380593089586	1.90421894837093	1.33293300030511	0.988654281118913	1.95351443485318	1.59867842549209	1.95351443485318	1.7115778203022	1.09697410525707	1.32519365535918	1.87973226623877	2.16110088675859	1.89280033716264	1.99871555421256	2.30562499905667	1.39158238711689	2.023230608168	2.03392518415408	1.25162050486238	2.023230608168	2.09262725634405	2.17777057824316	1.92886889622163	1.8908470540888	1.94503752126219	1.54332306079441	2.31004063964582	2.14004169598269	1.51748245813036	1.50132667144676	2.1452745071072
16 1ary Auditory (BA41/42)	2.35040976648453	1.3879311251559	2.17810449026559	2.26944893243847	2.48852296487977	1.50550713402607	0	2.54252246194549	1.18383549404836	1.50924584006156	1.33752734919336	2.4274985927774	2.28781068327242	2.25052066151885	1.57676486427817	2.24510204714692	1.80626071405884	0.835837556818472	2.54252246194549	0.85269992583768	2.26341222951858	1.27054694951122	2.03123914694937	0.845582612301652	1.43993232659067	1.91606020206452	1.99729622865446	2.53304900678933	2.39909391507723	1.42262344386357	1.9064729949433	1.37691524220634	2.53634069506383	1.28662148431736	2.53634069506383	1.61388035560043	1.77602103196232	1.67336426083992	2.52452026286962	2.49319368504551	2.54486243578305	2.61490607327941	2.4730383893938	1.87436660993745	2.33263059638182	2.42321402914233	0.630104565179515	2.33263059638182	2.50264420758227	2.59681566448027	2.47121217674165	2.41509022915657	1.86098074048426	2.24939509043399	2.57026936129976	2.63590585402057	1.70941183693365	2.1021075253807	2.5073120683119
17 1ary Visual Anterior (BA17a)	0.539286513445951	2.37935414414601	2.94642705325543	3.06823519296502	0.859716801724387	2.37984783827862	2.54252246194549	0	2.27338764956779	2.58600674159274	2.78119216140266	1.32752073294609	3.0787247149071	2.58588389205143	2.29285850591808	2.22029688913043	2.11807704889783	2.34623873266579	0	2.60916092496839	1.28525252395757	1.78686232186113	2.95883761874786	2.45202786309072	2.55152515331013	1.44505025065029	2.40889323747457	2.40371958737181	2.56689397210061	2.02740723554713	2.15411181104507	2.11227520669302	2.13482545855834	2.01475223487119	2.13482545855834	1.79373020132775	2.57845539868692	2.42570339813264	2.31221862925094	1.46657459035433	2.22635105580407	2.27025045007281	0.387933051860116	2.02740268133175	1.36116997624214	1.67311039356493	2.3699827978133	1.36116997624214	1.5915950584211	1.87689360248417	2.20374757860714	2.25025741657275	1.54976808905032	2.38809541368541	1.21043607304177	2.017619460832	2.19383467675134	1.91837226413527	1.37735999984178
18 1ary Somatosensory (BA3/1/2)	2.09929004382376	1.74639466577511	1.35979678534166	1.56476967456548	2.21400109093432	0.414396183952953	1.18383549404836	2.27338764956779	0	1.76198972668163	1.29936580800994	2.17957656619986	1.73485115291691	1.34647730411577	1.38385674136579	1.56444945484762	1.86108330171683	1.56416679028839	2.27338764956779	1.59000647999979	1.87673900473365	0.979866393569139	1.34031678064575	1.37475707054424	0.915463672359051	1.76675350398578	1.31374845325621	1.85375064670266	1.6108061749904	1.70099734469028	1.33680285134977	0.741328366751151	1.93184507033292	1.3703095927273	1.93184507033292	1.53961939650623	1.18674184698833	1.29437862694653	1.88718037225757	2.05731799510304	1.89293695119906	1.99199314723709	2.18809580399385	1.35797953955231	1.95952328701215	1.98081991594504	0.977424767621934	1.95952328701215	2.04730537193835	2.12792914858996	1.92421603816324	1.8790745821499	1.79115245963608	1.59406640079174	2.22290097104139	2.11799061991583	1.42285677084028	1.47086946897621	2.05339085771818
19 Posterior Middle Temporal (BA37-pMT)	2.32046911324198	0.611616812020259	2.15571897590239	2.14739355591464	2.38044497747172	1.93001006256583	1.50924584006156	2.58600674159274	1.76198972668163	0	1.51871873273252	2.17578762465845	2.11585752605843	2.5913881997193	2.34454359705186	2.66087556632685	0.950328937145976	1.15122187520545	2.58600674159274	0.956629691679239	2.56758031326959	1.46549051517165	2.01348951382149	1.09725251600265	1.8616885308253	1.61817777552701	2.35514249096857	2.92347906799971	2.75522360039606	1.11495786778783	2.27619973157348	1.63838136170188	2.87001047595161	0.785518675728844	2.87001047595161	2.19029095921209	1.83139591943433	2.25948011913331	2.8764745953001	2.8350090024481	2.96564220109167	2.98682085408749	2.59056288442071	2.04881678026258	2.47869570249027	2.83753622857783	1.74187820367483	2.47869570249027	2.85998709907474	3.05687545332683	2.97562100506056	2.95660606498064	1.32692411876294	2.7943195770579	2.83389866803096	3.1008774324081	2.36850403276053	2.60765344691433	2.86186039400708
